city,time,pm25,pm10,humidity,temp,aqi
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 00:00:00,11,19,,,19
Tangerang,2025-12-27 00:00:00,37,27,,,37
Bekasi,2025-12-27 00:00:00,15,12,,,15
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
Bekasi,2025-12-27 01:00:00,12,12,,,13
Jakarta,2025-12-22 15:26:59,68,19,35.15,37.87,-
Depok,2025-12-26 07:43:29,128,52,64.82,27.07,-
Bogor,2025-12-27 01:00:00,11,19,,,19
Tangerang,2025-12-27 01:00:00,35,26,,,35
